class,start_clock,end_clock,start_s,end_s,seconds,distance_m,speed_avg_kmh,engine_load_avg_pct,required_load_avg_pct,deviation_mean_pp,equivalent_grade_index_mean_pct
non_analyzed,15:50:54,15:52:21,0.0,87.0,88,1.3227513227513228,0.1360544217687075,36.274660975501305,8.024918756073859,28.24974221942745,8.025699168556311
strong_uphill_or_external_load,15:52:22,15:52:31,88.0,97.0,10,9.576719576719576,3.4476190476190482,51.526237161531284,8.63954574829932,42.88669141323196,12.0
non_analyzed,15:52:32,15:52:37,98.0,103.0,6,2.5,1.5,54.10893246187364,8.275986111111111,45.83294635076253,11.84500466853408
strong_uphill_or_external_load,15:52:38,15:52:40,104.0,106.0,3,2.7962962962962963,3.3555555555555556,54.92810457516339,8.62218888888889,46.30591568627451,11.808804593837536
non_analyzed,15:52:41,15:52:45,107.0,111.0,5,12.462962962962964,8.973333333333333,40.92287581699347,9.753055333333334,31.169820483660136,8.705296235294119
strong_uphill_or_external_load,15:52:46,15:52:49,112.0,115.0,4,14.592592592592592,13.133333333333335,34.090102707749764,10.623256666666666,23.4668460410831,6.704813154595172
non_analyzed,15:52:50,15:52:59,116.0,125.0,10,14.152116402116402,5.094761904761905,46.236041083099906,8.97636912585034,37.259671957249566,10.035525010194553
strong_uphill_or_external_load,15:53:00,15:53:03,126.0,129.0,4,9.36111111111111,8.424999999999999,39.83333333333333,9.623417083333333,30.20991625,8.631404642857142
non_analyzed,15:53:04,15:53:09,130.0,135.0,6,27.84722222222222,16.708333333333332,67.37037037037037,11.452307291666665,55.91806307870371,11.560898109243697
normal_load,15:53:10,15:53:10,136.0,136.0,1,6.157407407407407,22.166666666666668,9.019607843137253,12.727041666666667,-3.7074338235294135,-1.0592668067226896
strong_uphill_or_external_load,15:53:11,15:53:12,137.0,138.0,2,11.805555555555555,21.25,49.34640522875817,12.502604166666668,36.84380106209151,9.896022992530346
non_analyzed,15:53:13,15:53:15,139.0,141.0,3,20.416666666666668,24.5,53.132897603485844,13.312064999999999,39.82083260348584,10.87625497665733
transition_load,15:53:16,15:53:16,142.0,142.0,1,7.5,27.0,21.241830065359476,13.9535,7.288330065359476,2.082380018674136
downhill_or_coast_possible,15:53:17,15:53:18,143.0,144.0,2,14.50925925925926,26.116666666666667,1.4901960784313726,13.724240833333331,-12.234044754901959,-3.4954413585434168
non_analyzed,15:53:19,15:53:19,145.0,145.0,1,6.701388888888888,24.125,0.0,13.215523437500002,-13.215523437500002,-3.775863839285715
normal_load,15:53:20,15:53:20,146.0,146.0,1,6.388888888888888,23.0,11.372549019607844,12.9335,-1.5609509803921569,-0.4459859943977591
strong_uphill_or_external_load,15:53:21,15:53:23,147.0,149.0,3,20.342592592592588,24.41111111111111,41.08932461873638,13.289860555555554,27.799464063180825,7.942704018051664
normal_load,15:53:24,15:53:25,150.0,151.0,2,13.981481481481481,25.166666666666664,14.133986928104576,13.480708333333332,0.6532785947712432,0.18665102707749806
mild_uphill_or_external_load,15:53:26,15:53:26,152.0,152.0,1,6.805555555555555,24.5,27.84313725490196,13.310375,14.53276225490196,4.152217787114846
strong_uphill_or_external_load,15:53:27,15:53:32,153.0,158.0,6,41.99999999999999,25.2,36.394024276377216,13.48908,22.90494427637722,6.544269793250634
non_analyzed,15:53:33,15:53:38,159.0,164.0,6,37.2037037037037,22.322222222222223,45.63834422657953,12.769652777777777,32.86869144880175,7.074605082477436
strong_uphill_or_external_load,15:53:39,15:53:56,165.0,182.0,18,140.43783068783068,28.087566137566135,69.81310301898537,14.243260840891914,55.56984217809347,11.895353835978836
non_analyzed,15:53:57,15:54:04,183.0,190.0,8,66.1137566137566,29.751190476190477,53.65242763772176,14.689299957482994,38.96312768023876,7.3057918884220365
strong_uphill_or_external_load,15:54:05,15:54:10,191.0,196.0,6,52.98148148148148,31.78888888888889,68.38344226579521,15.238503888888888,53.14493837690632,11.385209517584812
non_analyzed,15:54:11,15:54:38,197.0,224.0,28,240.72222222222223,30.95,60.60924369747899,15.023720476190476,45.58552322128851,9.246714677871148
transition_load,15:54:39,15:54:40,225.0,226.0,2,20.0,36.0,23.92156862745098,16.424,7.497568627450981,2.1421624649859945
downhill_or_coast_possible,15:54:41,15:54:42,227.0,228.0,2,19.351851851851855,34.833333333333336,0.6535947712418301,16.090416666666666,-15.436821895424837,-4.410520541549953
non_analyzed,15:54:43,15:54:57,229.0,243.0,15,125.56547619047619,30.135714285714286,36.722440087145976,14.848643467687072,21.8737966194589,4.851630384738022
mild_uphill_or_external_load,15:54:58,15:54:58,244.0,244.0,1,12.129629629629628,43.666666666666664,30.32679738562091,18.720166666666664,11.606630718954246,3.316180205415499
strong_uphill_or_external_load,15:54:59,15:54:59,245.0,245.0,1,12.11111111111111,43.6,36.549019607843135,18.69944,17.849579607843136,5.099879887955182
normal_load,15:55:00,15:55:01,246.0,247.0,2,23.666666666666664,42.599999999999994,20.86274509803922,18.3923,2.470445098039219,0.7058414565826341
non_analyzed,15:55:02,15:55:06,248.0,252.0,5,52.81481481481481,38.026666666666664,4.101960784313725,17.020082666666664,-12.918121882352938,-3.690891966386554
