순위,브랜드,모델명,세그먼트,차체유형,파워트레인유형,연료유종,최저가(만원),최고가(만원),정격효율,효율단위,baseEffCoeff,regenBonus,accelPenalty,finalEffCoeff,예상실효율,월주행거리(km),예상월비용(원),효율점수,월비용점수,회생점수,토크응답점수,컴포트점수,고속순항점수,총점,최대출력(hp),출력판정,ACC탑재,회생제동조절
1,현대,아이오닉 6 SR,중형,세단,BEV,전기,4595,4595,7.3,km/kWh,1.154102564102564,0.17453822164293933,0.0,1.3286407857455034,9.699077735942174,31.12911742833336,1039.8755759431249,35.0,19.930674961603792,10.0,12.75,0.0,9.0,86.68067496160378,151,출력 여유 부족 가능,O,O
2,현대,아이오닉 6 LR,중형,세단,BEV,전기,5295,5295,6.3,km/kWh,1.154102564102564,0.17453822164293933,0.0,1.3286407857455034,8.370436950196671,31.12911742833336,1204.9351911721924,35.0,19.919670987255188,10.0,12.75,0.0,9.0,86.66967098725519,225,출력 여유 충분,O,O
3,현대,아이오닉 5 SR,중형,SUV,BEV,전기,4695,4695,6.2,km/kWh,1.154102564102564,0.17453822164293933,0.0,1.3286407857455034,8.23757287162212,31.12911742833336,1224.3696297394858,35.0,19.918375358017368,10.0,12.75,0.0,9.0,86.66837535801737,170,출력 하한 근접,O,O
4,기아,EV6 SR,중형,SUV,BEV,전기,4690,4690,6.0,km/kWh,1.154102564102564,0.17453822164293933,0.0,1.3286407857455034,7.97184471447302,31.12911742833336,1265.1819507308019,35.0,19.915654536617946,10.0,12.75,0.0,9.0,86.66565453661795,170,출력 하한 근접,O,O
5,현대,캐스퍼 일렉트릭,경차,SUV,BEV,전기,2280,2780,5.8,km/kWh,1.154102564102564,0.17453822164293933,0.0,1.3286407857455034,7.706116557323919,31.12911742833336,1308.8089145491056,35.0,19.91274607236339,10.0,12.75,0.0,9.0,86.66274607236339,113,출력 여유 부족 가능,O,O
6,기아,EV3 SR,소형,SUV,BEV,전기,3740,3740,5.8,km/kWh,1.154102564102564,0.17453822164293933,0.0,1.3286407857455034,7.706116557323919,31.12911742833336,1308.8089145491056,35.0,19.91274607236339,10.0,12.75,0.0,9.0,86.66274607236339,204,출력 여유 충분,O,O
7,현대,코나 일렉트릭,소형,SUV,BEV,전기,3955,4570,5.6,km/kWh,1.154102564102564,0.17453822164293933,0.0,1.3286407857455034,7.440388400174818,31.12911742833336,1355.5520900687166,35.0,19.909629860662086,10.0,12.75,0.0,9.0,86.65962986066208,218,출력 여유 충분,O,O
8,현대,아이오닉 6 LR AWD,중형,세단,BEV,전기,5795,5795,5.6,km/kWh,1.154102564102564,0.17453822164293933,0.0,1.3286407857455034,7.440388400174818,31.12911742833336,1355.5520900687166,35.0,19.909629860662086,10.0,12.75,0.0,9.0,86.65962986066208,325,출력 여유 충분,O,O
9,현대,아이오닉 5 LR,중형,SUV,BEV,전기,5295,5295,5.5,km/kWh,1.154102564102564,0.17453822164293933,0.0,1.3286407857455034,7.307524321600269,31.12911742833336,1380.1984917063292,35.0,19.90798676721958,10.0,12.75,0.0,9.0,86.65798676721958,225,출력 여유 충분,O,O
10,기아,EV6 LR,중형,SUV,BEV,전기,5290,5290,5.4,km/kWh,1.154102564102564,0.17453822164293933,0.0,1.3286407857455034,7.174660243025719,31.12911742833336,1405.7577230342242,35.0,19.906282818464383,10.0,12.75,0.0,9.0,86.65628281846438,229,출력 여유 충분,O,O
