순위,브랜드,모델명,세그먼트,차체유형,파워트레인유형,연료유종,최저가(만원),최고가(만원),정격효율,효율단위,baseEffCoeff,regenBonus,accelPenalty,finalEffCoeff,예상실효율,월주행거리(km),예상월비용(원),효율점수,월비용점수,회생점수,토크응답점수,컴포트점수,고속순항점수,총점,최대출력(hp),출력판정,ACC탑재,회생제동조절
1,현대,아이오닉 6 SR,중형,세단,BEV,전기,4595,4595,7.3,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,7.872955295343192,360.4484651883339,14833.731215277958,35.0,19.01108458564814,10.0,12.75,0.0,9.0,85.76108458564813,151,출력 여유 부족 가능,O,O
2,현대,아이오닉 6 LR,중형,세단,BEV,전기,5295,5295,6.3,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,6.7944682685838504,360.4484651883339,17188.291725639534,35.0,18.854113884957364,10.0,12.75,0.0,9.0,85.60411388495737,225,출력 하한 근접,O,O
3,현대,아이오닉 5 SR,중형,SUV,BEV,전기,4695,4695,6.2,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,6.686619565907916,360.4484651883339,17465.5222373434,35.0,18.83563185084377,10.0,12.75,0.0,9.0,85.58563185084377,170,출력 여유 부족 가능,O,O
4,기아,EV6 SR,중형,SUV,BEV,전기,4690,4690,6.0,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,6.470922160556048,360.4484651883339,18047.706311921513,35.0,18.796819579205234,10.0,12.75,0.0,9.0,85.54681957920523,170,출력 여유 부족 가능,O,O
5,현대,캐스퍼 일렉트릭,경차,SUV,BEV,전기,2280,2780,5.8,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,6.25522475520418,360.4484651883339,18670.0410123326,35.0,18.755330599177825,10.0,12.75,0.0,9.0,85.50533059917782,113,출력 여유 부족 가능,O,O
6,기아,EV3 SR,소형,SUV,BEV,전기,3740,3740,5.8,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,6.25522475520418,360.4484651883339,18670.0410123326,35.0,18.755330599177825,10.0,12.75,0.0,9.0,85.50533059917782,204,출력 여유 부족 가능,O,O
7,현대,코나 일렉트릭,소형,SUV,BEV,전기,3955,4570,5.6,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,6.039527349852311,360.4484651883339,19336.82819134448,35.0,18.710878120577036,10.0,12.75,0.0,9.0,85.46087812057704,218,출력 하한 근접,O,O
8,현대,아이오닉 6 LR AWD,중형,세단,BEV,전기,5795,5795,5.6,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,6.039527349852311,360.4484651883339,19336.82819134448,35.0,18.710878120577036,10.0,12.75,0.0,9.0,85.46087812057704,325,출력 여유 충분,O,O
9,현대,아이오닉 5 LR,중형,SUV,BEV,전기,5295,5295,5.5,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,5.931678647176378,360.4484651883339,19688.40688573256,35.0,18.687439540951164,10.0,12.75,0.0,9.0,85.43743954095116,225,출력 하한 근접,O,O
10,기아,EV6 LR,중형,SUV,BEV,전기,5290,5290,5.4,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,5.823829944500444,360.4484651883339,20053.007013246122,35.0,18.66313286578359,10.0,12.75,0.0,9.0,85.4131328657836,229,출력 하한 근접,O,O
11,기아,니로 EV,소형,SUV,BEV,전기,4580,5030,5.3,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,5.715981241824509,360.4484651883339,20431.36563613756,35.0,18.63790895759083,10.0,12.75,0.0,9.0,85.38790895759084,204,출력 여유 부족 가능,O,O
12,기아,EV3 LR,소형,SUV,BEV,전기,4240,4790,5.2,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,5.608132539148575,360.4484651883339,20824.27651375559,35.0,18.611714899082962,10.0,12.75,0.0,9.0,85.36171489908295,204,출력 여유 부족 가능,O,O
13,기아,레이 EV,경차,MPV,BEV,전기,2295,2795,5.1,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,5.500283836472641,360.4484651883339,21232.59566108413,35.0,18.58449362259439,10.0,12.75,0.0,9.0,85.3344936225944,67,출력 여유 부족 가능,O,O
14,현대,아이오닉 5 LR AWD,중형,SUV,BEV,전기,5795,5795,5.1,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,5.500283836472641,360.4484651883339,21232.59566108413,35.0,18.58449362259439,10.0,12.75,0.0,9.0,85.3344936225944,325,출력 여유 충분,O,O
15,제네시스,GV60,소형,SUV,BEV,전기,5990,7490,5.0,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,5.392435133796707,360.4484651883339,21657.247574305813,35.0,18.55618349504628,10.0,12.75,0.0,9.0,85.30618349504628,234,출력 하한 근접,O,O
16,기아,EV5 SR,준중형,SUV,BEV,전기,4490,4490,5.0,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,5.392435133796707,360.4484651883339,21657.247574305813,35.0,18.55618349504628,10.0,12.75,0.0,9.0,85.30618349504628,218,출력 하한 근접,O,O
17,기아,EV6 LR AWD,중형,SUV,BEV,전기,5790,5790,4.9,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,5.284586431120773,360.4484651883339,22099.2322186794,35.0,18.52671785208804,10.0,12.75,0.0,9.0,85.27671785208804,325,출력 여유 충분,O,O
18,현대,아이오닉 9 LR,대형,SUV,BEV,전기,6735,6735,4.8,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,5.176737728444839,360.4484651883339,22559.632889901888,35.0,18.49602447400654,10.0,12.75,0.0,9.0,85.24602447400653,218,출력 하한 근접,O,O
19,기아,EV5 LR,준중형,SUV,BEV,전기,4990,5490,4.6,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,4.96104032309297,360.4484651883339,23540.48649381067,35.0,18.430634233745955,10.0,12.75,0.0,9.0,85.18063423374596,218,출력 하한 근접,O,O
20,기아,EV9 LR,대형,SUV,BEV,전기,7100,7100,4.6,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,4.96104032309297,360.4484651883339,23540.48649381067,35.0,18.430634233745955,10.0,12.75,0.0,9.0,85.18063423374596,218,출력 하한 근접,O,O
21,제네시스,G80 e,대형,세단,BEV,전기,7896,8760,4.4,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,4.745342917741103,360.4484651883339,24610.508607165695,35.0,18.359299426188954,10.0,12.75,0.0,9.0,85.10929942618895,272,출력 여유 충분,O,O
22,현대,아이오닉 9 LR AWD,대형,SUV,BEV,전기,7235,7235,4.3,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,4.637494215065168,360.4484651883339,25182.84601663467,35.0,18.321143598891023,10.0,12.75,0.0,9.0,85.07114359889103,308,출력 여유 충분,O,O
23,제네시스,GV70 e,준중형,SUV,BEV,전기,7410,8560,4.2,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,4.529645512389234,360.4484651883339,25782.437588459303,35.0,18.281170827436046,10.0,12.75,0.0,9.0,85.03117082743604,272,출력 여유 충분,O,O
24,기아,EV9 LR AWD,대형,SUV,BEV,전기,7700,7700,4.1,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,4.4217968097133,360.4484651883339,26411.277529641236,35.0,18.239248164690586,10.0,12.75,0.0,9.0,84.9892481646906,384,출력 여유 충분,O,O
25,현대,아이오닉 5 N,중형,SUV,BEV,전기,7350,7350,4.0,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,4.3139481070373655,360.4484651883339,27071.55946788227,35.0,18.195229368807848,10.0,12.75,0.0,9.0,84.94522936880784,650,출력 여유 충분,O,O
26,기아,EV6 GT,중형,SUV,BEV,전기,7190,7190,4.0,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,4.3139481070373655,360.4484651883339,27071.55946788227,35.0,18.195229368807848,10.0,12.75,0.0,9.0,84.94522936880784,585,출력 여유 충분,O,O
27,제네시스,GV80 e,대형,SUV,BEV,전기,8960,10500,3.9,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,4.2060994043614315,360.4484651883339,27765.70201834079,35.0,18.14895319877728,10.0,12.75,0.0,9.0,84.89895319877728,272,출력 여유 충분,O,O
28,제네시스,G90 e,대형,세단,BEV,전기,10320,12500,3.8,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,4.098250701685497,360.4484651883339,28496.37838724449,35.0,18.10024144085037,10.0,12.75,0.0,9.0,84.85024144085037,408,출력 여유 충분,O,O
29,기아,EV9 GT,대형,SUV,BEV,전기,8500,8500,3.8,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,4.098250701685497,360.4484651883339,28496.37838724449,35.0,18.10024144085037,10.0,12.75,0.0,9.0,84.85024144085037,501,출력 여유 충분,O,O
30,제네시스,GV90,대형,SUV,BEV,전기,9500,13000,3.6,km/kWh,1.0233221476510066,0.055164879108334765,0.0,1.0784870267593414,3.882553296333629,360.4484651883339,30079.510519869185,35.0,17.994699298675386,10.0,12.75,0.0,9.0,84.74469929867539,408,출력 여유 충분,O,O
31,기아,니로 PHEV,소형,SUV,PHEV,휘발유+전기,3590,4150,17.1,km/L,1.100503355704698,0.04903544809629757,0.0,1.1495388038009955,19.657113544997024,360.4484651883339,30255.712070815174,35.0,17.982952528612323,10.0,9.75,0.0,8.0,80.73295252861232,183,출력 여유 부족 가능,O,O
